"","X","code","sdate","gear","zone15e","zone15n","temp","do","vegd","stratum","richness","shannon","year"
"1","SGER",-1200197,"11/08/1989","F",640953,4848534,6.7,NA,NA,"MCB-W",2,0.693147180559945,1989
"2","SGER1",-1200196,"11/08/1989","F",640953,4848534,6.7,NA,NA,"MCB-W",2,0.693147180559945,1989
"3","SGER2",-1200195,"11/08/1989","F",639586,4850318,6.8,NA,NA,"MCB-W",2,0.693147180559945,1989
"4","SGER3",-1200194,"11/08/1989","F",639586,4850318,6.8,NA,NA,"MCB-W",2,0.693147180559945,1989
"5","SGER4",-1200193,"11/07/1989","F",639918,4850486,6.5,NA,NA,"MCB-W",2,0.693147180559945,1989
"6","SGER5",-1200192,"11/07/1989","F",639918,4850486,6.5,NA,NA,"MCB-W",2,0.693147180559945,1989
"7","SGER6",-1200191,"11/07/1989","F",641207,4848224,6.8,NA,NA,"MCB-W",2,0.693147180559945,1989
"8","SGER7",-1200190,"11/07/1989","F",641207,4848224,6.8,NA,NA,"MCB-W",2,0.693147180559945,1989
"9","SGER8",-1200189,"11/07/1989","F",639506,4850724,6.5,NA,NA,"MCB-W",2,0.693147180559945,1989
"10","SGER9",-1200188,"11/07/1989","F",639506,4850724,6.5,NA,NA,"MCB-W",2,0.693147180559945,1989
"11","SGER10",-1200187,"11/06/1989","F",641151,4848225,6.8,NA,NA,"MCB-W",2,0.693147180559945,1989
"12","SGER11",-1200186,"11/06/1989","F",641151,4848225,6.8,NA,NA,"MCB-W",2,0.693147180559945,1989
"13","SGER12",-1200185,"11/06/1989","F",640908,4845991,6.9,NA,NA,"MCB-W",2,0.693147180559945,1989
"14","SGER13",-1200184,"11/06/1989","F",640908,4845991,6.9,NA,NA,"MCB-W",2,0.693147180559945,1989
"15","BKCP",-1200130,"10/04/1989","F",643248,4845192,13.1,NA,NA,"BWC-S",2,0.136863993282248,1989
"16","BKCP1",-1200128,"10/04/1989","F",642889,4845173,12.8,NA,NA,"BWC-S",2,0.233791658706459,1989
"17","BKCP2",-1200029,"08/16/1989","F",638883,4856777,22.9,NA,NA,"BWC-S",20,1.85055719817448,1989
"18","BKCP3",-1200028,"08/16/1989","F",638883,4856777,23,NA,NA,"BWC-S",12,1.64397401023047,1989
"19","BKCP4",-1200018,"08/09/1989","F",643535,4845282,25,NA,NA,"BWC-S",13,1.50991809985944,1989
"20","BKCP5",-1200007,"08/02/1989","F",639278,4842350,NA,NA,NA,"BWC-S",12,1.45143369494455,1989
"21","BKBH",-1201337,"10/21/1992","F",636921,4857744,11,NA,NA,"BWC-S",11,1.0895334907319,1992
"22","BKBH1",-1201336,"10/21/1992","F",636921,4857744,11,NA,NA,"BWC-S",11,1.41631363279487,1992
"23","BKCP8",-1200473,"10/01/1990","F",643535,4845282,16.2,NA,NA,"BWC-S",2,0.167944147734173,1990
"24","BKCP9",-1200468,"10/01/1990","F",642889,4845173,16.2,NA,1,"BWC-S",3,0.176326264540061,1990
"25","SGER14",-1200171,"10/25/1989","F",636948,4856242,15.5,NA,NA,"MCB-W",2,0.693147180559945,1989
"26","SGER15",-1200170,"10/25/1989","F",636948,4856242,15.5,NA,NA,"MCB-W",2,0.693147180559945,1989
"27","SGER16",-1200169,"10/25/1989","F",637115,4856669,11,NA,NA,"MCB-W",2,0.693147180559945,1989
"28","SGER17",-1200168,"10/25/1989","F",637115,4856669,11,NA,NA,"MCB-W",2,0.693147180559945,1989
"29","SGER18",-1200167,"10/25/1989","F",636921,4857744,10.5,NA,NA,"MCB-W",2,0.693147180559945,1989
"30","SGER19",-1200166,"10/25/1989","F",636921,4857744,10.5,NA,NA,"MCB-W",2,0.693147180559945,1989
"31","BKCP10",-1200020,"08/09/1989","F",642889,4845173,27.5,NA,NA,"BWC-S",16,1.79256254441653,1989
"32","BKCP11",-1200358,"08/23/1990","F",637099,4857753,21.1,NA,NA,"BWC-S",11,1.47779452887289,1990
"33","BKCP12",-1200503,"10/16/1990","F",643535,4845282,11.8,NA,2,"BWC-S",1,0,1990
"34","BKCP13",-1200502,"10/16/1990","F",642889,4845173,11.8,NA,2,"BWC-S",1,0,1990
"35","BKCP14",-1200493,"10/10/1990","F",637099,4857753,13.7,NA,NA,"BWC-S",2,0.348832095843032,1990
"36","BKCP15",-1200488,"10/10/1990","F",636921,4857744,13.7,NA,NA,"BWC-S",1,0,1990
"37","BKCP16",-1200356,"08/23/1990","F",636921,4857744,21.1,NA,NA,"BWC-S",10,1.31136007447467,1990
"38","BKCP17",-1200348,"08/21/1990","F",638929,4857244,20.8,NA,NA,"BWC-S",17,2.19240302578681,1990
